ID,Description
272,IQE with hierarchical expansion terms outperforms list form.
273,Personal agent guides in virtual space.
274,Identifying and merging inconsistencies in structured text.
275,MARS: Mobile agent coordination architecture.
276,Text-based content search in ad hoc P2P communities.
277,Projective rotations for stereo head calibration.
278,Mobile agents cooperate for dynamic network routing.
279,Optimizing queries with expensive methods in databases.
280,Functional join techniques for database query processing.
281,Robot autonomy management with motives and visual communication.
282,Translate Boolean queries across multiple sources.
283,Design and development of Cub-e device.
284,Automated legal text analysis and classification techniques.
285,Unified theory for transaction management.
286,Conflict resolution model for cooperative design systems.
287,RoboCup-97 Small-Robot World Champion Team.
288,Efficient iceberg query computation with minimal resources.
289,Automating software library comparison for reuse.
290,Self-organization in sensor networks for distributed perception.
291,Scalable clustering algorithms for large datasets.
292,Interpolated data manipulation with infinite relations.
293,Context-aware tourist guide evaluation.
294,Reasoning complexity in description logics with concrete domains.
295,Concurrency control in shared storage systems.
296,Collaborative learning enhances recommender system performance.
297,Dynamic service matchmaking in open information environments.
298,Scalable personalized web search with partial vectors.
299,Regularized principal manifolds for unsupervised learning.
300,Enhancing language learning with cognitive biases.
301,Hypertext categorization with various algorithms.
302,Temporal patterns in web query refinement analysis.
303,Universal planning with OBDDs for multi-agent domains.
304,Logical belief analysis using possible worlds.
305,Learning approaches for 3D object recognition.
306,Distributed case-based learning in multi-agent systems.
307,Locking and transformation for consistency maintenance.
308,"CSCL design using rooms, protocols, nets metaphors."
309,Enhancing query result efficiency through algebraic compression.
310,Learning and tracking human motion in videos.
311,Zooming enhances image browsing in ZUI systems.
312,Incremental strategy learning for cost-effective planning.
313,Modeling social impact on individual mental states.
314,Clause aggregation for complex sentence generation.
315,Hybrid heuristics optimize Artificial Neural Network design.
316,Automatic language discrimination through prosody analysis.
317,Class representation in image retrieval with classification.
318,Ontology services in distributed information systems.
319,Central node: XML for flexible code mobility.
320,Organisational abstractions in multi-agent system design.
321,Dynamic reconfiguration in collaborative problem solving.
322,Enhancing cross-validation with diverse classifier combinations.
323,Belief aggregation in web metasearch.
324,Automatic sound effects for interactive simulations/animations.
325,Performance comparison of clustering methods.
326,Enhances data integration using agents.
327,Relational learning for text extraction.
328,Central node: Language for interactive web services compiler.
329,Linear tabling with nonlinear delaying mechanism.
330,Mapping source code to optimized binary.
331,Data model for moving objects databases.
332,Time series segmentation for context recognition.
333,Stable algorithms for link analysis using eigenvector methods.
334,Comparing library collections to computer memory hierarchy.
335,Dynamic gait evolution for quadruped robot.
336,Efficient gradient estimation for POMDPs.
337,Expert system design challenges addressed by PESKI.
338,Enhanced knowledge representation through RDF Schema extension.
339,Feature combination strategies for visual attention systems.
340,Agent-Oriented Software Engineering: Conceptual Foundation and Autonomy.
341,Modeling spatial data with abstract data types.
342,Efficiently improving ad hoc linguistic rule learning.
343,Vision-based obstacle detection for mobile robots.
344,Model extensibility in OODBMS for advanced applications.
345,Performance data warehouse for process improvement.
346,Layered ML approach for RoboCup Soccer Server clients.
347,Meta-search engine with improved search quality.
348,Security architecture for Application Session Handoff.
349,Interactive retrieval with clustering and genres.
350,Agent-mediated e-commerce trends and forecasts in Europe.
351,Modified clustering for interpretable fuzzy models.
352,Efficient query execution in ILP systems.
353,Resolution method for multi-modal temporal logics.
354,Genetic algorithm optimizes MLPs in G-Prop-II.
355,Analogy-based learning for multilingual pronunciation challenges.
356,Enhancing WWW query and reasoning services.
357,Decentralized supply chain formation with market protocols.
358,Theorem prover tool for database analysis.
359,Image retrieval system using TS-SOM.
360,Embodied Evolution for robotic controller design.
361,Dynamic agent behaviors through communication and triggers.
362,Customizable hyperlink insertion engine for software browsing.
363,Word Sense Disambiguation with Semantic Density in WordNet.
364,"OAI, interoperability, metadata, content dissemination, future plans."
365,Enhancing human-computer interaction with audio-visual processing.
366,Feasible low-power AR terminal for ubiquitous computing.
367,Vision-based navigation using machine learning.
368,Hand posture recognition with Discriminant-EM algorithm.
369,Inductive learning methods for Programming by Demonstration.
370,Intelligent web search with document structure.
371,Web data extraction using machine learning.
372,Cross-language search experiment summary.
373,Rotational polygon containment and minimum enclosure algorithm.
374,Mobile agents reduce communication costs.
375,Characterizing bias and evaluating metrics.
376,Optimizing query execution in distributed DBMS.
377,Fuzzy reasoning extension for MIR in DL.
378,Feature selection method for web applications.
379,Assesses XML database performance for benchmarking.
380,"ASC research overview: features, algorithms, classification techniques."
381,Scalable read-only transaction processing in broadcast push.
382,Interplay of path and type constraints in XML.
383,Central node: Update translation with constraint satisfaction problems.
384,Distributed computing overview with dedication.
385,Agent-based workflow for electronic marketplace architecture.
386,Gesture recognition in virtual environments.
387,Enhancing collaboration in floristic digital libraries.
388,Enhancing collaborative learning with workspace awareness technology.
389,Security flaws in object-oriented databases authorization model.
390,Language model with topic dependencies for speech recognition.
391,Resource usage monitoring in mobile agent systems.
392,Optimizing query plans for XML data.
393,Supports self-explanation in learning.
394,VR Computational Steering for Scientific Simulations.
395,Speech acts in military and scientific collaboration.
396,Extending UML with Use Case Maps concepts.
397,Evolution of ARIES and transaction management.
398,"Rule learning without global optimization, accurate results."
399,Indexing spoken documents with Latent Semantic Analysis.
400,Agent-oriented programming language characteristics for multiagent systems.
401,Imitation and synthesis of humanoid movement.
402,Automated approach enhances conversational case library.
403,Specifying agents in robotic soccer using UML statecharts.
404,Annotated virtual worlds for agent interaction.
405,Unsupervised learning for object recognition with flexibility.
406,Value-added mediation in information systems.
407,Heuristic extraction for movie showtime query system.
408,Interval-based probabilities analysis and applications.
409,Ontology-based web page authoring in CREAM framework.
410,Face detection with linear subspaces.
411,Integrating frame-based and Bayesian network systems.
412,Enhancing business transaction workflow with advanced principles.
413,Web genre visualization for personalized search results.
414,Mixed-Initiative UI Principles for Enhanced Interaction.
415,Adaptable workflow reflection in business processes.
416,Managing historical semistructured data overview.
417,Optimal anytime search for constrained nonlinear programming.
418,Deductive OODBMS: OLOG.
419,Formalizing knowledge content in case memory systems.
420,Boosting interval-based literals for time series classification.
421,Gesture synthesis for conversational agents with timing coordination.
422,Middleware for heterogeneous device communication.
423,Dynamic user preferences in scheduling using CBR.
424,Fault-tolerant agent architecture with persistent broker teams.
425,Incremental and interactive sequence mining techniques.
426,Output codes for multiclass categorization problems.
427,Social information seeking support implications discussed.
428,Genetic algorithm for feature subset selection.
429,Personality-driven social behaviors in believable agents.
430,Multivariate information bottleneck with Bayesian networks.
431,Specialized multi-user conference search engine.
432,Automatic I/O hint generation with speculative execution.
433,Web Aliasing: Prevalence and Performance Implications analysis.
434,Web page information mining intelligent system.
435,Modeling score distributions in information retrieval engines.
436,Combining OOP and ER for data management.
437,Lazy PRM reduces collision checks for path planning.
438,MAS architectural styles based on organizational theories.
439,HTML wrapper representation and learning.
440,Probabilistic reasoning with conditional constraints and default knowledge.
441,Updating knowledge bases through abduction.
442,Intelligent agents for web tasks using theory refinement.
443,"Spatial data mining techniques, strengths, weaknesses, challenges."
444,Model management for complex database applications.
445,Framework for multiagent system methodologies evaluation.
446,Machine colour constancy limitations for object recognition.
447,Visual attention model for scene analysis.
448,Runtime system for interactive web services using CGI.
449,Stereo rig for motion capture and analysis.
450,"Future sensor systems with intelligent agents: feasibility, application."
451,Motivational system for human-robot interaction.
452,SQL-based data mining on IBM DB2 UDB EEE.
453,Ant routing algorithm for network management.
454,Intelligent conceptual modeling tool with logical reasoning.
455,Neuro-fuzzy control for robot localization.
456,Efficient temporal aggregate computation with range predicates.
457,Innovative IT research group in Sweden.
458,Survey on knowledge compilation methods.
459,Enhancing realism in virtual agents through behavior modeling.
460,Temporal statement modifiers for query language enhancement.
461,Selecting and materializing warehouse views.
462,Fault-tolerant robot cooperation through adaptive architecture.
463,Scientific data management challenges and solutions.
464,Issues and solutions in deductive database languages.
465,Ordinal regression in social sciences using machine learning.
466,Child-friendly digital library interface design.
467,Region-based image retrieval algorithm with index.
468,Wearable spatial conferencing space for communication.
469,AR technology with computer vision for scene understanding.
470,Hybrid coordination for AUV control with RL.
471,Authority extraction from hyperlinked environments for web search.
472,Introduction to hybrid neural systems with recent results.
473,Design challenges in mixed-initiative agent systems.
474,User-defined time granularities symbolically represented.
475,Optimizing queries with limited access patterns.
476,Agent architecture for proactive persistent NPC in games.
477,Metasearch tool for text and image online.
478,Interactive text database management through mining operations.
479,Optimizing ADFs with Factorized Distribution Algorithm.
480,Control law design for haptic interfaces in VR.
481,Whole-hand input design for virtual environments.
482,Parallel processing for multi-user VR applications.
483,Improving business process quality through exception analysis.
484,Collaborative decision-making model in multi-agent systems.
485,Plan recognition in military simulation using ML.
486,Inductive verification of cryptographic protocols using Isabelle/HOL.
487,Word clusters enhance text classification accuracy.
488,Web search engine coverage and recency analysis.
489,Distributed multimedia retrieval framework with flexible queries.
490,Bank controlling data warehouse system.
491,Agent autonomy in attention planning.
492,Efficient weighted proximity relationship computation algorithm.
493,Electronic travel recommendations multiagent system.
494,Autoepistemic belief theories and semantics computation.
495,Clustering algorithms for web document categorization.
496,DALI logic programming language for agent systems.
497,Low-power processor board for wearables.
498,Design support system integration using case-based learning.
499,Automated recommendations for collaborative filtering systems.
500,Ad-hoc collaboration with schedule learning and prediction.
501,Arabic OCR systems comparison using paired model.
502,Genetic algorithm enhances accuracy of small rules.
503,Declarative signatures transformed into misuse IDS.
504,Efficient location table for physics objects.
505,Topical Virtual Reality Internet Solution.
506,Adaptive color segmentation for hand localization.
507,Document collection synthesis in various fields.
508,Min-wise independent permutations for document detection.
509,Hybrid multiagent system for fuzzy modeling techniques.
510,Probabilistic deduction with conditional constraints: NP-hard complexity.
511,AR tool for spatial planning with bricks.
512,Enhancing web information access with ontologies.
513,Semantic web site querying with WG-log model.
514,Automatic labeling of document clusters using hierarchy.
515,Semantic integration of heterogeneous information sources using RDF.
516,Comparison of ML and KDD in Databases.
517,Pattern-supported UI design for information visualization.
518,Learning probabilistic relational models from databases.
519,Innovative replication protocols with improved performance.
520,Adaptive language model for probability estimation.
521,Automatic database selection using language models.
522,Vision techniques enhance reinforcement learning speed.
523,Hierarchical information coding in web directories.
524,Keyword-based search system for relational databases.
525,Corporate memory integration in supply chain.
526,Text classification with labeled and unlabeled data.
527,Tutoring system with dialog processing.
528,Behavior-based learning for robots in dynamic conditions.
529,Wrapper induction for semistructured data extraction.
530,Vision-guided navigation with SHOSLIF and RPT.
531,Human motion modeling and tracking through statistical analysis.
532,Mobile-agent applications benefit from context-dependent coordination.
533,Learning categories for mobile robot through interaction.
534,Qualitative spatio-temporal representation and reasoning.
535,SVM text classification statistical learning model.
536,Framework for open societies of interacting agents.
537,Semantic integration with common data model.
538,Enhancing PageRank with Intelligent Surfer.
539,Data warehousing research advances and challenges.
540,Learning environmental features for pose estimation.
541,Enhances voicemail with visual browsing and search.
542,Team formation in distributed environment by mobile agents.
543,CTL branching-time temporal logic resolution method.
544,Ontology and recommender system synergy for preferences.
545,Intersection of computer science and statistics.
546,Flaws in mobile agent security protocols identified.
547,Efficient KNN search using iDistance technique.
548,Bayesian exploration for mobile robot mapping.
549,Facilitates global data sharing standards.
550,Recovery of evicted variables in computer systems.
551,Intelligent Diagnosis Systems Comparison in Various Approaches.
552,Enhancing chat programs with Threaded Text Chat.
553,Topic-driven crawlers for seeking relevant web pages.
554,Global platform for spatial-aware applications integration.
555,Compositional agent model for diverse applications.
556,Decision criteria and optimization in robotics.
557,Sensor architecture for autonomous robots in indoor environments.
558,Personality and emotions in character interaction.
559,Evolutionary Multiobjective Optimization Techniques: State and Future.
560,Java resource accounting interface for Internet applications.
561,Agent-based framework for mobile user support.
562,Calibrating lag in augmented/virtual environments.
563,Web-based planning in cooperative multiagent system.
564,Audio-Visual Speaker Detection with Dynamic Bayesian Networks.
565,Entity matching and clustering for record linkage.
566,Incorporating degrees of belief in BDI agents.
567,Model checking Agent UML protocol diagrams.
568,Hierarchical method for drawing large graphs.
569,Embodied agents for human-computer interaction.
570,Efficient email filtering using machine learning.
571,Context-aware communication system for mobile devices.
572,Reflective metalogical framework for rewriting logic.
573,Optimizing robot numbers for efficient web indexing.
574,Mobile AR support for process control design.
575,Algorithm for reverse nearest neighbor queries.
576,Integrating printed and digital information with web tech.
577,Emotion modeling in decision-making for computerized agents.
578,Real-time database challenges and solutions.
579,User models for adaptive web search.
580,Mobile app development over mobile networks.
581,Domain authoring support using layered ontology.
582,Web-based system outperforms search engines.
583,Database selection for multimedia databases on the Web.
584,Data-driven fuzzy classifier with decision-tree initialization.
585,Evolution of Walden's Paths authoring tools.
586,Layered NLP for improved information retrieval.
587,Methodology for cross-database document similarity.
588,Hierarchical learning in sensory-motor systems with RNNs.
589,Mobile agents improve web server programmability.
590,Flexible queries for semi-structured data sources.
591,Task model development for Collagen For.
592,Dynamic replica selection for timing fault tolerance.
593,Framework for adaptive learning using knowledge containers.
594,Real-Time Index Concurrency Control for Real-Time Databases.
595,Efficient verification for concurrent software properties.
596,Evaluation of humanoid agents in e-retail applications.
597,Nonlinear system identification with fuzzy control.
598,Automated facial animation system for realistic expressions.
599,AR classification based on task focus and augmentation nature.
600,Real-time air-mission simulations plan recognition.
601,Accelerating RL with automatic subgoal discovery.
602,F-serializability for multiversion concurrency control protocols.
603,Hidden Markov Model for Information Extraction.
604,Agent-aided aircraft maintenance with multi-agent system.
605,Web-based knowledge extraction through data mining.
606,Intelligent agent development for diverse applications.
607,Efficient temporal DBMS implementation with stratum approach.
608,Evaluate topic-driven web crawlers for SEO.
609,Scalable consistency protocols for distributed services.
610,Query optimization strategies using bitmap indices.
611,Adaptive web-applications from reusable components.
612,Error-Correcting Codes enhance text classification accuracy.
613,Mobile agents for network management strategies.
614,Socialware for network communities.
615,Updating mental states through effective communication.
616,Preserving context in hypermedia querying.
617,Improving dialogue inferencing in conversational CBR.
618,Wearable AR system with collaboration focus.
619,Distributed real-time database with multimedia support.
620,Agent framework using formal methods.
621,Integration of SE and HCI usability patterns.
622,Speculative computation in multi-agent systems with default logic.
623,Nearest neighbor algorithms for dynamic control tasks.
624,Enhancing expert systems with reducts and classifiers.
625,Efficient mobile agent planning for information retrieval.
626,Learning probabilistic Datalog rules for information classification.
627,BDDs for firewall and router access management.
628,Efficient wireless network communication protocol: CARMA-NTG.
629,Data resource selection in distributed visual systems.
630,Centroid-based algorithm excels in document classification.
631,Critique and propose new similarity concepts.
632,Rule-based query optimizer in VenusDB: overview and assessment.
633,MVLQ for spatio-temporal data with raster images.
634,Learning source coverage statistics efficiently for integration.
635,Enhancing safety in end-user programming.
636,Case-based learning of formal languages with tuning.
637,Developmental robotics for complex behavior building.
638,Enhancing app development for pervasive computing.
639,Augmented reality challenges and future possibilities.
640,Integration framework for E-Commerce data.
641,Coastal navigation for mobile robots in dynamic environments.
642,KRAFT Architecture for Knowledge Fusion and Transformation.
643,Nonmonotonic inheritance in object-oriented deductive databases.
644,Adaptation for diverse internet users.
645,Algorithm for evaluating Quantified Boolean Formulae.
646,Automatic lifelike gesture generation for virtual agents.
647,Automatic genre analysis for digital library organization.
648,Landmark-based localization using image landmarks.
649,Adaptation techniques for intrusion detection and response systems.
650,Measuring similarity among XML documents and DTDs.
651,Optimizing I/O for queries on tertiary storage.
652,Evolutionary routing heuristics for backbone networks.
653,Optimizing OODB queries with monoid comprehension calculus.
654,Agents' coordination plans overview.
655,Enhancing LDAP functionality for telecom integration.
656,Image retrieval with textural features and classifiers.
657,Neural network for image retrieval system.
658,Accurate query selectivity estimation using workload-aware histogram.
659,Seamless session transfer across platforms.
660,Modeling trajectory-based tasks with steering law.
661,Indexing techniques for semistructured data in Lore DBMS.
662,Medical data association rules discovery.
663,Federated system for NDLTD using MARIAN middleware.
664,Enhancing wearable computing with visual context awareness.
665,Agent conversation policies for global coherence.
666,Knowledge modeling in AI integrated with other disciplines.
667,Coverage optimization in wireless sensor networks.
668,Runtime analysis for complex distributed systems.
669,Logic program transformation for specialized evaluation.
670,Fuzzy lattice framework for learning and decision-making.
671,Extension of ALC to handle vagueness.
672,Scalable algorithm for detecting disagreements in teams.
673,Intelligent Telecommunication: Expert Systems and Data Mining.
674,Agent-based drama for interactive learning.
675,Classification framework for AR in surgery.
676,Agent technology for information discovery and filtering.
677,Mediator cost models for data sources.
678,Central node: Programming Paradigm - The Logic.
679,Data integration for consumer decision-making.
680,Advanced multilingual spoken dialogue information system.
681,Enhancing mobile and everyday objects with context awareness.
682,Software infrastructure for collaboration in dynamic environments.
683,Dynamic user model for intelligent information queries.
684,RF*IPF weighting for multimedia retrieval integration.
685,Mobile Agents Platform for Distributed Computing in Java.
686,Java framework for distributed and mobile applications.
687,Optimizing query plans in data integration systems.
688,Meta-learning strategies for large data sets.
689,Database reformulation for conjunctive databases.
690,Bayesian system for modeling human interactions.
691,Brick-based camera control system for virtual interaction.
692,"Implicit HCI through context, multiple cases emphasized."
693,Parallelizing PRM motion planning methods for efficiency.
694,Diagnostic neural network model without independence assumption.
695,Secure Object Spaces for Agent Coordination in Java.
696,Bimodal interface for 3D display control.
697,DAML-Enabled Web Search Architecture with Semantic Queries.
698,Algebraic process semantics for contextual nets.
699,Agent negotiation in e-commerce using influence diagrams.
700,Speeding up kernel PCA learning with EM.
