ID,Description
1129835,Improving performance with dynamic confidence prediction.
310653,Robustness analysis of Bayesian networks algorithms.
1130600,Self-learning control system for mobile robot.
1111733,Evaluation and ordering of rules for decision-making.
210871,Coevolving high-level representations in complex tasks.
210872,Evolutionary program acquires recurrent network structure.
1132083,Spline smoothing for bivariate hormone analysis.
132806,Genetic encoding of neural networks for behavior.
12631,Multivariate smoothing spline ANOVA with Bayesian.
12638,Soft classification and smoothing spline analysis.
38771,DNA sequence assembly quality improvement with classifications.
232605,Enhancing ILP on MIMD architectures through design.
232606,MISC architecture for instruction parallelism extraction.
1107312,Optimal navigation strategies in uncertain environments.
1114605,EEG signal classification with neural networks.
68505,Learning monomials with malicious noise.
133553,Sample complexity bounds for recurrent perceptrons.
144408,Neural net architectures for time-varying patterns.
23502,Simulating impairments in lexical system.
1108050,Visual cortex synaptic plasticity theory summary.
23507,NLP with Subsymbolic Neural Networks.
83826,Rodent navigation theory beyond cognitive map.
133563,Neural nets as dynamical system models/controllers.
85299,Effective learning technique for high-dimensional mappings.
49660,Feature selection using probabilistic estimates for algorithms.
593060,Parallel Genetic Programming on SIMD architecture.
341188,Unified analysis of reinforcement-learning algorithms for optimal behavior.
714975,Path diagrams for structural equation modeling analysis.
1115375,Hyperspectral data analysis using Independent Component Analysis.
95435,Incremental methods for POMDP bounds.
145176,Bayesian non-linear modeling for energy prediction.
1113934,Hybrid model for classification using neural networks.
1132809,Enhancing parallelism in MIMD architectures through scheduling.
22835,Predicts performance range for parallel neural network.
1153148,Bayesian statistics for better tree predictions.
41714,Challenges in evolutionary robotics at SAB92.
1118245,Sorting and decision trees using POMDPs.
1152436,Introspective reasoning framework for AI strategy selection.
1153166,Adaptive chemistry tutoring system development.
1153169,Automated model selection for machine learning.
38000,Learning logic programs without explicit negatives.
1152448,Instance-based learning for autonomous systems.
1137140,Neuro-fuzzy clustering algorithm with fuzzy hyperboxes.
30895,Randomized technique for creating accurate decision trees.
5966,Hybrid genetic algorithm excels in classification.
1136422,Analyzing musical sound with forward models.
27174,Linear programming in machine learning applications.
1128407,Enhancing creativity in case-based reasoning.
1124844,Hidden Markov models for DNA sequence analysis.
1153195,Weight matrix modification in neural networks.
1113995,Implementing multi-associative mappings in cognitive modeling.
1136442,Visual image stabilization during eye movements.
8821,Predicting mediation outcomes in international conflicts.
46079,Efficient technique for multimodal function optimization.
119761,AI research on learning from examples.
1111052,Efficient value function approximation with backward computation.
315789,Interactive system for design optimization strategies.
1108841,Neural network classification of optical and radar.
1135746,Learning Markov chains with variable memory.
100935,PGAPack parallel genetic algorithm library guide.
353541,Intelligent agents for web tasks.
60682,Concept learning with dynamic context adjustment.
253762,Bayesian mixture modeling with Monte Carlo simulation.
8872,Efficient reinforcement learning through symbiotic evolution.
714260,Probabilistic evaluation of plans with hidden variables.
137956,Enhancing ILP processors with control flow prediction.
35922,Mean field theory for sigmoid belief networks.
2354,Optimizing learning systems through statistical methods.
168410,Modular Q-Learning for manipulator task decomposition.
346292,Back-propagation learning and network plasticity dynamics.
1153933,Enhanced RAAMs for complex data storage.
1119751,RankBoost algorithm combines preferences for various applications.
17798,Enhancing case-based learning performance with decision trees.
400356,Factor analysis model learned with wake-sleep method.
10531,Bayesian method enhances HMMs for proteins.
1110390,Cost model for machine learning applications.
714289,Causal inference and statistical analysis techniques.
733167,Soft clustering with EM algorithm for data.
81714,Design adaptation through evolving design representations.
428610,Non-linear time series model with mixture-based structure.
552469,Maximizing coverage in learning algorithms.
164885,Analyzing GAs with reordered Markov models.
81722,Emergent behavior in co-evolutionary design.
111866,Learning with noisy and incomplete data.
194617,Accurate DNA segmentation using new HMM system.
93318,Algorithm clusters learning tasks for lifelong learning.
134307,Belief change model combining revision and update.
203646,Bayesian regression with Kalman filter for online learning.
367312,Efficient mapping of sparse neural networks.
650814,Comparison of haploid and diploid networks.
93320,Hybrid model for sequential decision making.
134315,Critique of belief revision approaches in literature.
134316,Qualitative Markov assumption for belief change.
976334,Improving control solutions in continuous state spaces.
1095507,Queries on probabilistic grammars for pattern analysis.
134320,Logic and probabilities for qualitative reasoning.
662416,Risk factors' relation to incidence analysis.
194645,Motor schemas and reinforcement learning integration.
1131421,Cortical synchronization and perceptual framing study.
161221,Local learning algorithm for dynamic neural networks.
38839,Ontology's role in enhancing creative understanding.
38846,Modeling serendipitous recognition in creative design.
133615,Impact of probability estimation on attribute selection.
1112574,Learning in dynamic and adversarial environments.
521207,Toolbox for similarity measure construction in retrieval.
3828,Theory on questions and asking.
593105,Automating abstract data structure implementation for efficiency.
390693,Analog computational complexity in networks.
642847,MCMC convergence diagnostic using total variation.
1122704,EEG source separation and artifact removal.
4584,Exploring references for challenging learning control.
7419,Neuro-dynamic programming for retailer inventory management.
30901,Comparison of greedy and lookahead approaches.
1115456,Automatic feature extraction using competitive classifier.
7432,Dynamic merging of Markov Decision Processes.
573553,Approximation algorithm for fitting tree metrics.
1022969,Improving case-based planning through retrieval analysis.
143801,Adaptive data analysis using neural networks.
612306,Confidence estimation for speculation control in processors.
417017,Survey of relational learning algorithms for supervised tasks.
396412,Approximate learning algorithm for Boltzmann Machines.
1107455,Reinforcement learning for combinatorial optimization problems.
91975,Learning curve analysis for Markov Decision Processes.
180187,Comparison of predicated execution support for ILP.
27203,Exploring power and efficiency of self-learning.
1152508,Lower-bound result on genetic algorithm power.
69392,Electricity demand forecasting using nonlinear mixture model.
1118332,Cost function representation in Markov chain.
189577,Learning with chain graphs for data analysis.
1114777,Advantages of graph-structured representations in CBR.
75969,Analyzing benefits of linear regression.
1132922,Cortical functionality emergence through self-organization.
1153254,Evaluate theory revision systems using distance metric.
1117618,Data mining approach with dataset decomposition.
6767,Generalizing machine learning algorithm performance from case studies.
27241,Error reduction through learning multiple descriptions.
27246,Neural networks for accurate volcano recognition.
95589,Planning with closed-loop macro actions.
6771,Statistical tests compare classification learning algorithms.
86840,Active classifiers with cost and penalty considerations.
108962,Probabilistic inference algorithms in bucket elimination framework.
6786,Bayesian model selection in social research.
108963,Algorithms for time-space tradeoff.
108974,Efficient probabilistic inference in belief networks.
1117653,Study on associative memory using action potential.
1152569,Maintaining diversity in evolutionary algorithms through subpopulations.
1132968,Statistical theory for object representation with features.
370366,Regularization for invariant learning in pattern recognition.
108983,Efficient Bayesian network inference using causal independence.
399339,Learning methods for cognitive skill acquisition.
64319,Improved noise-tolerant learning algorithms with statistical queries.
1110426,Efficient relational learning algorithm with pruning.
1102407,Utilize PREENS tools and NN simulations.
1127812,Neural network learns variable metrical patterns.
1128542,Knowledge integration and rule extraction in neural networks.
65057,Abduction model with belief revision for explanations.
159084,Comparing Sparse Distributed Memory designs for performance.
159085,Estimating stored data accurately in SDM.
65074,Belief revision and reasoning framework with semantics.
33895,Genetic algorithms for various scheduling problems.
2440,Learning logical definitions from relations.
1717,Convergence analysis of EM algorithm for Gaussian mixtures.
249421,Rhythmic pattern processing based on time perception.
3187,Bayesian test for nested hypotheses and Schwarz Criterion.
591016,Regression algorithm for real-world domains.
1110494,Contral node: Memory and organization in neocortex.
29492,Learning temporal structure with multiscale hidden units.
400473,Sequence learning with incremental higher-order networks.
644334,Convergence controls for MCMC in HMM.
949511,Diffuse liver disease classification using echography.
205192,Review of nonlinear PCA neural networks.
763009,Unsupervised category learning with credit allocation.
169280,Modeling circadian rhythms using periodic spline function.
1120643,Genetic algorithms enhance large-scale graph optimization.
645088,Hierarchical spatio-temporal disease mapping in Ohio.
5348,Feature extraction and dimensionality reduction neural network.
124296,Input representation impact on learning algorithms.
1121398,Overview of selection schemes in evolutionary algorithms.
950305,Learning self-supervised backpropagation for topology-preserving maps.
567018,Modeling rhythmic patterns perception and production.
52000,Uniform approximation orders with radial basis functions.
52003,Improved scattered centers with radial basis functions.
52007,Approximation power of shift-invariant spaces.
58540,Unified view on learning algorithms.
436796,Extensions of K-Means for Image Segmentation.
948846,Limitations of self-organizing maps for clustering.
8213,Enhancing RL exploration safety with domain knowledge.
671293,Input variable selection based on mutual information.
1131550,Diploidy's role in genetic algorithms.
899119,Task selection for improved performance through speculation.
1105394,Introspection Approach enhances learning speed strategically.
85452,Feature selection method excels in classification accuracy.
1112686,Bayesian finite mixtures for educational data.
69418,Algorithms improve hierarchical mixture of experts.
8224,Comparison of pruning methods for decision trees.
145315,Error handling framework for AI research.
575077,Analyzing fitness landscapes and problem difficulty.
20850,MDL principle outperforms cross-validation in feature selection.
44017,Learning rules to improve classification accuracy.
1135125,Efficient fuzzy graph construction algorithm from data.
286562,Motif analysis in steroid dehydrogenases.
1123553,Intelligent teaching system using reinforcement learning.
1135137,Neural model for temporal pattern processing.
325314,Estimating alertness levels using EEG analysis.
662572,Spatial-temporal temperature analysis with smoothing spline ANOVA.
159897,Bayesian inference in networks with convex distributions.
1130856,"Chaos, fractals, genetic algorithms in research."
96335,Geometry in learning for two-class problem-solving.
755082,Time series prediction using cluster-weighted modeling.
1123576,Neural network model for protein data.
1103979,Research on prior information and generalized questions.
593260,Edge encoding for evolving graphs and networks.
601567,Geometric comparison technique for evaluating classifications.
1119140,Learning model enhances strategic abilities in mobot.
189655,Developing axioms and semantics for causal relevance.
31769,Learning visual schemas in neural networks.
1107567,Learning algorithms for various applications.
88356,Bayesian classification methods with varying dependence levels.
1033,Evolutionary costs of learning over time.
1034,Evolutionary trade-off between learning costs.
1106849,Classification option trees with confidence measure.
16470,Analyze finite state machines and neural networks.
35343,Backpropagation convergence analysis for neural networks.
16471,Constructing stable neural networks for DFA.
1154074,Lyapunov-theoretic techniques for nonlinear stability.
16476,Grammar inference from recurrent neural networks.
23774,High-performance job-shop scheduling using TDNN-TD() network
16485,Turing machine simulation using neural networks.
136665,Domain properties impact real-time search performance.
94953,Approximation rates in low-dimensional function spaces.
9708,Acquiring concepts through explanation-based learning.
38205,Evolution of solutions in competitive environments.
645897,Gibbs sampling convergence rates in mixtures.
216877,Intermediate concepts for real-valued functions.
18619,Improving supervised learning efficiency through uncertainty sampling.
559804,Testability of causal models with latent variables.
6898,Sample size calculations for smoothing splines.
166420,Boosting algorithms for multiclass classification with confidence.
787016,Learning in Genetic Algorithms and Evolution Strategies.
73146,Learning Bayesian networks with improved representation.
1136634,Validate test errors using trained classifiers.
1111230,Comparison of control methods for heating coil.
3218,Improving CN2 algorithm for rule induction.
3229,Neural computation theory and network analysis.
193347,SEE on PolyPath architecture enhances performance by 48%.
84020,Competitive tree learning algorithm outperforms.
3231,"Subset selection for accurate, relevant concepts."
52847,Rule-based ML for functional prediction.
193352,Hybrid predictor scheme enhances execution times.
193354,SMT hardware for speculative multi-path execution.
1110531,Comparing machine learning and human learning.
686532,Homology detection methods for biological sequences.
711598,Pattern finding in KDD using robust approach.
1063773,Guide to alignment challenges and heuristics.
3243,Improved accuracy through oblique decision trees.
78994,Adaptive tuning of weather models with GCV.
181782,Hierarchical EBRL for optimal policy learning.
284414,Effective discretization of continuously valued data.
114189,Detecting attribute dependencies in Bayesian classifiers.
686559,Parameterization studies for HMM in viral proteins.
253971,Finite state machines from recurrent networks.
1106103,Bias impact on learning algorithm generalization.
1114125,Optimizes average reward in scheduling AGVs.
75318,Robust stability in nonlinear systems.
45599,Robotic control with genetic neural networks.
97892,Correcting imperfect domain theories through analysis.
446271,Efficient optimization through Bayesian-Boltzmann mapping.
1106112,Heuristic routing for adaptive network routing.
280876,Statistical analysis in clustering methods.
12182,Algorithm analysis combining expert predictions for binary.
175909,Structural similarity assessment and adaptation in CBR.
64484,Automated training agent enhances learning efficiency.
6125,Improving learning algorithms through hypothesis combination.
1120713,Legal reasoning computational model.
1114153,Preservation of neighborhood relationships in mappings.
12197,PAC learning model for noisy concept learning.
248823,Behavioral specialization in learning robot teams.
919885,Product units enhance neural network performance.
94229,Neural network representation for IJCAI'95 presentation.
1120731,Cognitive model development for skill acquisition.
23069,Enhancing belief revision process for rationality.
6151,Learning search strategies with multilayer connections.
6155,Comparison of reinforcement learning methods.
23070,Belief change framework with time extension.
644448,Efficient Adaptive MCMC with Regeneration.
1112723,Spatially varying smoothness for improved generalization.
31097,Lessons learned from StatLog Machine Learning Project.
6169,Optimizing elevator dispatching using reinforcement learning.
1106172,Efficient exploration technique in partially observable domains.
6170,Improve policies in dynamic programming effectively.
211875,Selecting salient features for protein prediction.
1109017,Extension package for Distributed Genetic Algorithms.
5454,Self-organizing network for 3D object representation.
6184,Internal models for supervised learning in adaptive systems.
10796,Incremental decision tree induction with numeric variables.
10798,Learning physical descriptions from functional definitions.
1120777,Modeling image manifolds of handwritten digits.
86258,Study on Weighted Majority Algorithm with grants.
154134,Efficient control rule selection for learning.
6196,Efficient algorithm for learning feasible trajectories.
20920,Predictive inference methods for discrete domains.
20923,Efficient Bayesian case-based reasoning with neural networks.
22386,Case-based reasoning for creative design processes.
1131639,Language dynamics and evolution study in complex system.
77515,Learning functions with scale-sensitive Vapnik dimension.
93555,Neural network modules for adaptable intelligent systems.
17201,Learning policies in partially observable environments.
644494,Efficient Markov chain construction method.
17208,Approximation method for optimal policies in POMDPs.
1125082,Efficient parallel search for neural network optimization.
1131647,Connectionist model of word learning in children.
74698,Event-based belief update using abduction.
13652,Brain-like networks for perception and learning.
20942,Efficient tree restructuring for decision tree.
390894,Variational approach for Bayesian logistic regression.
390896,Improving mean field approximation with mixtures.
1125092,2-D pole balancing challenge solved efficiently.
13656,Learning biases for patterns in networks.
1116347,Accelerated Q-learning with reduced update complexity.
13658,Generative learning algorithms for intelligent systems.
114966,Neural network for autonomous road following.
120013,Incremental learning system with locally linear experts.
1117089,Dynamic decision making in repeated games.
57948,Efficient learning of rectangles with distributions.
334153,Function decomposition for concept hierarchy in ML.
160732,Bayesian regression trees with m-distribution estimate.
1154103,Technical report number 967 from August 1996.
12946,Learning algorithms for incomplete data.
1104787,Fault-tolerant neural DFA implementation in RNNs.
17242,Detecting features in spatial point processes.
321861,Adversarial bandit problem with no assumptions.
189721,Bayesian belief networks with sensitivities.
1119211,Custom supercomputer for fast neural network training.
12960,Active learning reduces training examples for categorization.
95718,Ensemble learning with neural networks example.
6910,Smoothing spline ANOVA in diabetes study.
180373,Cancer diagnosis and prognosis using linear programming.
6917,Comparison of covering and divide-and-conquer.
358884,Algorithmic probability discovery.
887,Checkers game machine learning research in 1959.
180399,Predicting recurrence times with censored data.
358894,MML technique for modeling various distributions.
1154169,Random motion planning in computer science.
120084,Efficient visual attention computational model.
1120019,Neural network behavior with excitatory-inhibitory interactions.
1152711,Efficient SDM memory reading with implicit information.
1154176,Efficient machine operation duration analysis.
424540,Nonlinear systems stabilization overview and developments.
1118546,Hierarchical selection models for meta-analysis.
643003,Estimating ratios of normalizing constants for densities.
112099,Matching knowledge structures in large networks.
1104007,Reducing training examples for PAC learning.
1120049,Analysis of RNN dimensionality in 1996.
175256,Adaptive global optimization with local search.
45605,Learning and evolution in neural networks.
15889,Guiding adaptation in design support systems.
35490,Blame-assignment model in physical device design.
221302,Task-driven knowledge acquisition in design support.
562123,Comparison of Bayesian and Neural Net.
1104031,Case-based reasoning with meta-cases in AI.
1129442,Estimating amino acid frequencies in protein families.
1129443,Explore innateness and cholinergic suppression in learning.
1137466,Genetic algorithm for mathematical economics studies.
328370,Visual attention for autonomous vehicles using NN.
1103315,Value function approach enhances production scheduling.
12210,Efficient learning of probabilistic concepts.
1104055,Dynamic feature selection for effective learning.
64519,Reduce harmfulness of deductively learned knowledge.
114,Real-time dynamic programming with acknowledgments.
1109873,Neural network for object selection and correlation.
128,Reinforcement learning algorithms for average-payoff MDPs.
12238,Learning algorithms for unknown environments.
1112099,Explore directed graphs with limited assumptions.
18774,Bayesian network learning with low sample complexity.
18777,Bayesian network learning tutorial in report.
130,Scaling ARL with model and value approximations.
23116,Bayesian methods for adaptive models.
948299,Visualizing high-dimensional structure with neural network.
6209,Learning transfer in sequential decision tasks.
197054,Evolving obstacle avoidance behavior in robotics.
6210,Reinforcement learning with compact state representation.
6213,Incremental learning for improved prediction accuracy.
6214,"Integrated architectures for learning, planning, reacting."
6216,Generalization in Reinforcement Learning with Sparse Coarse Coding.
6217,Efficient supervised learning with random representations.
2653,Decision-theoretic resource allocation in online learning.
2658,Blind signal separation using statistical dependency.
753047,Error bound for classifier chosen by early stopping.
188318,Avoids overfitting in neural network training.
74700,Iterated belief revision with minimal changes.
67415,Learnability of discrete distributions in abstract.
6220,Challenges of function approximation in RL.
2665,Blind separation and deconvolution algorithm using maximization.
28957,Learning with graphical models for data analysis.
143323,Empirical approach to utility problem in learning.
340075,Learning methods for OCR and speech classification.
1949,Acquiring adaptation knowledge from experience in CBR.
1953,Introspective reasoning for memory search modeling.
1955,Multistrategy learning in complex engineering domains.
1959,Introspective reasoning for effective multistrategy learning.
390922,Mean field learning for unsupervised neural networks.
22431,Investigating noise in relational concept learning.
1113541,Identifying chaotic dynamics using error propagation.
1132418,Nonparametric method for input variable selection.
628500,Reinforcement learning for mobile robot navigation.
648106,Study on visual perception and neural processing.
1104809,Approximation of smooth L p -functions.
4804,Efficient exploration of agnostic learning.
648112,Visual cortex processing and object recognition studies.
33301,Case-based planning framework with partial-order planner.
33303,Replay framework enhances planning performance.
267824,Fast weights for sequence learning.
1138970,Disk-Covering Method enhances tree reconstruction accuracy.
13717,Learning heuristics for semantic-grammar acquisition using logic.
1131719,Dynamic predication for improved speculative architecture performance.
1120866,Visual attention influences auditory spatial map plasticity.
1106287,Study on hippocampal maps and spatial functions.
755217,Active gesture recognition using reinforcement learning.
647408,Comparison of fitness and implicit sharing.
1116410,Method-specific knowledge compilation for design support.
1132459,Advantages of mixture of experts model.
1105574,Face representation learning using attractor network.
1133196,Effects of relaxed synchronization on efficiency.
307336,SVM method for simple decision trees.
906,Exploring neural network architectures for approximation.
1131745,Interactive segmentation of 3D medical images.
1131748,Architecture of Kohonen network model.
910,Face analysis and synthesis using networks.
943,Incremental learning in case-based reasoning.
31927,GHMM model for gene recognition in DNA.
101261,Optimality and domination in repeated games.
101263,Efficient algorithms for optimal gameplay learning.
31932,Accurate gene identification using decision tree.
779960,Neural networks for PDE simulations.
1135358,Inductive learning for compact rule sets.
1154230,Impact of mediating instrumental variables in research.
1135368,Study on receptive field impact on learning.
28227,Reinforcement learning for continuous-time Markov decision.
32688,Hierarchical Mixture of Experts for classification.
189856,State-space abstraction for efficient probabilistic evaluation.
27510,Measuring learning problem difficulty with complexity classes.
27514,Statistical biases in backpropagation learning.
1154276,Scatter-partitioning RBF network for regression and segmentation.
27530,Rule extraction from neural networks for understanding.
1152821,Time complexity of neural network simulations.
28265,Enhancing learning strategy selection through introspection.
103430,Nonlinear stability and robust control analysis.
27543,Rule extraction from neural networks analysis.
39126,Optimal feature selection using Information Theory.
28278,Reinforcement learning for planning and control.
39131,Algorithm Oblivion for case-based learning.
10169,Learning Boolean concepts with irrelevant features.
28287,Developing robots through reinforcement learning.
1129518,Reduce complexity in BN2O networks.
1272,Learning primitive actions with decision trees.
194223,Discovering higher order structure in architectures.
10177,Efficient handling of malicious errors in learning.
18811,Bayesian model selection criteria for mixtures.
18812,Bayesian finite mixture models for decision support.
73327,Introspective reasoning for planning process failures.
1117942,Reinforcement learning for sequential decision making.
15984,Markov equivalence in various graph structures.
202522,Efficient Bayesian model construction with clustering.
1152858,Evidential Probability concepts explored through examples.
1152859,Stabilization and input-to-state stability analysis.
10183,Concept learning and classification in weak-theory domains.
81350,Reinforcement learning with attention and memory.
259126,Optimal feature selection without exhaustive search.
13024,Dynamic memory reference reordering hardware mechanism.
1120170,Optimal dialogue strategies for spoken agent.
46452,Efficient pruning for Inductive Logic Programming.
26850,EEG signals for mental state classification.
18832,Reinforcement learning survey in computer science.
18833,Enhancing XCS with internal memory.
82098,Hill climbing algorithm with learning features.
103482,Limits of uninformed learning in computational representation.
158614,Efficient feature identification algorithms in ML.
46468,Statistical decision tree modeling with efficient algorithm.
71904,Decoding binary vectors using free energy minimization.
80656,Perceptual development and learning in computational models.
29708,Diffusion and credit in Markovian models.
