input_text,output_text
<Modeling disease risk with Bayesian framework> has one hop connections with:  <Modeling disease risk with Bayesian framework> also has two hop connection with: Which category should <Modeling disease risk with Bayesian framework> be classified as?,Probabilistic_Methods
<Fast numerical integration for relaxation oscillator networks> has one hop connections with:  <Fast numerical integration for relaxation oscillator networks> also has two hop connection with: Which category should <Fast numerical integration for relaxation oscillator networks> be classified as?,Neural_Networks
<Unified reasoning approach with extended syllogism> has one hop connections with:  <Unified reasoning approach with extended syllogism> also has two hop connection with: Which category should <Unified reasoning approach with extended syllogism> be classified as?,Probabilistic_Methods
<Automatic user profiling for fraud detection> has one hop connections with:  <Automatic user profiling for fraud detection> also has two hop connection with: Which category should <Automatic user profiling for fraud detection> be classified as?,Rule_Learning
<Inductive learning for compact rule sets> has one hop connections with:  <Inductive learning for compact rule sets> also has two hop connection with: Which category should <Inductive learning for compact rule sets> be classified as?,Theory
<Backpropagation convergence analysis for neural networks> has one hop connections with:  <Backpropagation convergence analysis for neural networks> also has two hop connection with: Which category should <Backpropagation convergence analysis for neural networks> be classified as?,Neural_Networks
<Model disrupts symmetry in orientation map> has one hop connections with:  <Model disrupts symmetry in orientation map> also has two hop connection with: Which category should <Model disrupts symmetry in orientation map> be classified as?,Neural_Networks
<Learning DCF Grammars with NNPDA capabilities> has one hop connections with:  <Learning DCF Grammars with NNPDA capabilities> also has two hop connection with: Which category should <Learning DCF Grammars with NNPDA capabilities> be classified as?,Neural_Networks
<DNA sequence classification through compression-based induction> has one hop connections with:  <DNA sequence classification through compression-based induction> also has two hop connection with: Which category should <DNA sequence classification through compression-based induction> be classified as?,Neural_Networks
<Efficient tree restructuring for decision tree> has one hop connections with:  <Efficient tree restructuring for decision tree> also has two hop connection with: Which category should <Efficient tree restructuring for decision tree> be classified as?,Theory
<Accelerating evolution through discovering and exploiting subroutines> has one hop connections with:  <Accelerating evolution through discovering and exploiting subroutines> also has two hop connection with: Which category should <Accelerating evolution through discovering and exploiting subroutines> be classified as?,Genetic_Algorithms
<Belief revision and reasoning framework with semantics> has one hop connections with:  <Belief revision and reasoning framework with semantics> also has two hop connection with: Which category should <Belief revision and reasoning framework with semantics> be classified as?,Probabilistic_Methods
<Efficient learning algorithm for specific automata subclasses> has one hop connections with:  <Efficient learning algorithm for specific automata subclasses> also has two hop connection with: Which category should <Efficient learning algorithm for specific automata subclasses> be classified as?,Theory
<Approximation algorithm for fitting tree metrics> has one hop connections with:  <Approximation algorithm for fitting tree metrics> also has two hop connection with: Which category should <Approximation algorithm for fitting tree metrics> be classified as?,Theory
<Efficient dynamic neural network implementation using LITs> has one hop connections with:  <Efficient dynamic neural network implementation using LITs> also has two hop connection with: Which category should <Efficient dynamic neural network implementation using LITs> be classified as?,Neural_Networks
<Efficient sensory input representation using neural network> has one hop connections with:  <Efficient sensory input representation using neural network> also has two hop connection with: Which category should <Efficient sensory input representation using neural network> be classified as?,Neural_Networks
<Grapheme-to-phoneme conversion system evaluation> has one hop connections with:  <Grapheme-to-phoneme conversion system evaluation> also has two hop connection with: Which category should <Grapheme-to-phoneme conversion system evaluation> be classified as?,Case_Based
<Geometric concepts and polynomial predictability research> has one hop connections with:  <Geometric concepts and polynomial predictability research> also has two hop connection with: Which category should <Geometric concepts and polynomial predictability research> be classified as?,Theory
<Importance of explanation in interactive design> has one hop connections with:  <Importance of explanation in interactive design> also has two hop connection with: Which category should <Importance of explanation in interactive design> be classified as?,Case_Based
<Performance bounds for greedy policies with imperfections> has one hop connections with:  <Performance bounds for greedy policies with imperfections> also has two hop connection with: Which category should <Performance bounds for greedy policies with imperfections> be classified as?,Reinforcement_Learning
<Sorting and decision trees using POMDPs> has one hop connections with:  <Sorting and decision trees using POMDPs> also has two hop connection with: Which category should <Sorting and decision trees using POMDPs> be classified as?,Reinforcement_Learning
<Genetic algorithms evolve cellular automata computations> has one hop connections with:  <Genetic algorithms evolve cellular automata computations> also has two hop connection with: Which category should <Genetic algorithms evolve cellular automata computations> be classified as?,Genetic_Algorithms
<Algorithm combining Parzen window and vector quantization> has one hop connections with:  <Algorithm combining Parzen window and vector quantization> also has two hop connection with: Which category should <Algorithm combining Parzen window and vector quantization> be classified as?,Neural_Networks
<Correcting imperfect domain theories through analysis> has one hop connections with:  <Correcting imperfect domain theories through analysis> also has two hop connection with: Which category should <Correcting imperfect domain theories through analysis> be classified as?,Case_Based
<Goal-based intelligent information retrieval with ML> has one hop connections with:  <Goal-based intelligent information retrieval with ML> also has two hop connection with: Which category should <Goal-based intelligent information retrieval with ML> be classified as?,Case_Based
<Accounting for model uncertainty in GLMs> has one hop connections with:  <Accounting for model uncertainty in GLMs> also has two hop connection with: Which category should <Accounting for model uncertainty in GLMs> be classified as?,Probabilistic_Methods
<Impact of early stopping and regularization methods> has one hop connections with:  <Impact of early stopping and regularization methods> also has two hop connection with: Which category should <Impact of early stopping and regularization methods> be classified as?,Neural_Networks
<Reinforcement learning for continuous-time Markov decision> has one hop connections with:  <Reinforcement learning for continuous-time Markov decision> also has two hop connection with: Which category should <Reinforcement learning for continuous-time Markov decision> be classified as?,Reinforcement_Learning
<Emergent behavior in co-evolutionary design> has one hop connections with:  <Emergent behavior in co-evolutionary design> also has two hop connection with: Which category should <Emergent behavior in co-evolutionary design> be classified as?,Case_Based
<Virtual scenes impact machine learning generalization> has one hop connections with:  <Virtual scenes impact machine learning generalization> also has two hop connection with: Which category should <Virtual scenes impact machine learning generalization> be classified as?,Theory
